feature,slice,precision,recall,f1beta
workclass,Private,0.608738828202582,0.6136136136136137,0.6111665004985046
workclass,?,0.5681818181818182,0.5555555555555556,0.5617977528089888
workclass,State-gov,0.5671641791044776,0.6129032258064516,0.5891472868217054
workclass,Local-gov,0.628099173553719,0.7169811320754716,0.6696035242290749
workclass,Federal-gov,0.589041095890411,0.6231884057971014,0.6056338028169014
workclass,Self-emp-not-inc,0.5782312925170068,0.5414012738853503,0.5592105263157894
workclass,Self-emp-inc,0.7131147540983607,0.7435897435897436,0.7280334728033474
workclass,Without-pay,1.0,1.0,1.0
education,Masters,0.7571428571428571,0.8457446808510638,0.7989949748743719
education,HS-grad,0.445141065830721,0.4551282051282051,0.4500792393026941
education,Assoc-voc,0.6081081081081081,0.5844155844155844,0.5960264900662251
education,Bachelors,0.6778242677824268,0.7297297297297297,0.702819956616052
education,Doctorate,0.7611940298507462,0.8225806451612904,0.7906976744186047
education,Some-college,0.539622641509434,0.47194719471947194,0.5035211267605634
education,5th-6th,0.4,1.0,0.5714285714285715
education,Assoc-acdm,0.5510204081632653,0.5869565217391305,0.568421052631579
education,11th,0.2727272727272727,0.5,0.3529411764705882
education,10th,0.3,0.16666666666666666,0.21428571428571427
education,1st-4th,1.0,0.0,0.0
education,7th-8th,0.25,0.16666666666666666,0.2
education,9th,0.25,0.125,0.16666666666666666
education,12th,0.14285714285714285,0.16666666666666666,0.15384615384615383
education,Prof-school,0.8333333333333334,0.8666666666666667,0.8496732026143791
education,Preschool,1.0,1.0,1.0
marital-status,Married-civ-spouse,0.6373873873873874,0.6471036585365854,0.6422087745839637
marital-status,Never-married,0.5533980582524272,0.5277777777777778,0.5402843601895734
marital-status,Separated,0.375,0.5,0.42857142857142855
marital-status,Divorced,0.422680412371134,0.4606741573033708,0.4408602150537634
marital-status,Widowed,0.35,0.35,0.35
marital-status,Married-spouse-absent,0.5,0.4166666666666667,0.45454545454545453
marital-status,Married-AF-spouse,0.6666666666666666,1.0,0.8
occupation,Exec-managerial,0.7036144578313253,0.7002398081534772,0.7019230769230769
occupation,Farming-fishing,0.5185185185185185,0.6086956521739131,0.5599999999999999
occupation,Machine-op-inspct,0.5098039215686274,0.52,0.5148514851485149
occupation,Adm-clerical,0.5555555555555556,0.5612244897959183,0.5583756345177664
occupation,Tech-support,0.5686274509803921,0.6170212765957447,0.5918367346938775
occupation,Other-service,0.3333333333333333,0.2571428571428571,0.2903225806451613
occupation,Prof-specialty,0.7313019390581718,0.7586206896551724,0.7447108603667136
occupation,Transport-moving,0.5576923076923077,0.42028985507246375,0.4793388429752066
occupation,Handlers-cleaners,0.4642857142857143,0.5,0.4814814814814815
occupation,Sales,0.5707547169811321,0.6237113402061856,0.5960591133004925
occupation,Craft-repair,0.4057142857142857,0.4303030303030303,0.41764705882352937
occupation,?,0.5681818181818182,0.5555555555555556,0.5617977528089888
occupation,Protective-serv,0.48717948717948717,0.5135135135135135,0.5
occupation,Priv-house-serv,1.0,0.0,0.0
relationship,Husband,0.6364414029084687,0.6486486486486487,0.6424870466321243
relationship,Other-relative,0.16666666666666666,0.08333333333333333,0.1111111111111111
relationship,Unmarried,0.32727272727272727,0.375,0.34951456310679613
relationship,Own-child,0.4444444444444444,0.2857142857142857,0.34782608695652173
relationship,Not-in-family,0.5191256830601093,0.536723163841808,0.5277777777777779
relationship,Wife,0.660377358490566,0.6687898089171974,0.6645569620253164
race,Asian-Pac-Islander,0.7058823529411765,0.72,0.712871287128713
race,White,0.6121883656509696,0.6300784034212402,0.6210045662100457
race,Other,0.6666666666666666,0.2222222222222222,0.3333333333333333
race,Black,0.56,0.5121951219512195,0.535031847133758
race,Amer-Indian-Eskimo,0.375,0.2727272727272727,0.3157894736842105
sex,Male,0.6184708554125662,0.6313755795981453,0.6248565965583174
sex,Female,0.5769230769230769,0.5747126436781609,0.5758157389635317
native-country,Taiwan,0.75,0.6,0.6666666666666665
native-country,Mexico,0.3333333333333333,0.2857142857142857,0.30769230769230765
native-country,United-States,0.6093214530500343,0.6247364722417428,0.6169326856349758
native-country,Puerto-Rico,0.6666666666666666,0.4,0.5
native-country,Germany,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,Japan,0.5,0.6,0.5454545454545454
native-country,Greece,1.0,1.0,1.0
native-country,Philippines,0.8333333333333334,0.7692307692307693,0.8
native-country,England,0.75,0.42857142857142855,0.5454545454545454
native-country,Dominican-Republic,1.0,0.0,0.0
native-country,Haiti,1.0,1.0,1.0
native-country,Vietnam,1.0,0.5,0.6666666666666666
native-country,Canada,0.4,0.6666666666666666,0.5
native-country,?,0.6153846153846154,0.5161290322580645,0.5614035087719298
native-country,Ireland,1.0,0.0,0.0
native-country,Jamaica,1.0,1.0,1.0
native-country,Guatemala,0.0,1.0,0.0
native-country,El-Salvador,1.0,0.0,0.0
native-country,Peru,1.0,1.0,1.0
native-country,Columbia,1.0,0.5,0.6666666666666666
native-country,Laos,1.0,1.0,1.0
native-country,Cuba,1.0,0.8333333333333334,0.9090909090909091
native-country,China,1.0,0.75,0.8571428571428571
native-country,Portugal,0.0,1.0,0.0
native-country,Italy,0.5,1.0,0.6666666666666666
native-country,Iran,0.6666666666666666,1.0,0.8
native-country,Ecuador,0.0,1.0,0.0
native-country,Honduras,1.0,1.0,1.0
native-country,Nicaragua,1.0,0.5,0.6666666666666666
native-country,South,1.0,1.0,1.0
native-country,Thailand,1.0,1.0,1.0
native-country,France,0.0,1.0,0.0
native-country,India,0.7777777777777778,0.7777777777777778,0.7777777777777778
native-country,Yugoslavia,0.0,0.0,0.0
native-country,Hong,0.0,1.0,0.0
native-country,Poland,0.5,0.3333333333333333,0.4
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Hungary,1.0,0.0,0.0
native-country,Cambodia,0.5,1.0,0.6666666666666666
native-country,Scotland,1.0,1.0,1.0
native-country,Trinadad&Tobago,0.0,1.0,0.0
